Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Chirala,Rice,Andhra Pradesh,"[80.35, 15.82]",2012,February,Tonnes,B P T,2400,2500,2450,Rs/Quintal
Chirala,Cashewnuts,Andhra Pradesh,"[80.35, 15.82]",2012,February,Tonnes,Other,5800,6000,5900,Rs/Quintal
Chodavaram,Paddy(Dhan),Andhra Pradesh,"[82.95, 17.8333]",2012,February,Tonnes,Samba Masuri,1150,1350,1250,Rs/Quintal
Chodavaram,Turmeric,Andhra Pradesh,"[82.95, 17.8333]",2012,February,Tonnes,Bulb,7200,9200,8200,Rs/Quintal
Chodavaram,Turmeric,Andhra Pradesh,"[82.95, 17.8333]",2012,February,Tonnes,Finger,6400,8400,7400,Rs/Quintal
Cuddapah,Groundnut pods (raw),Andhra Pradesh,"[78.82, 14.47]",2011,February,Tonnes,Other,3170,3735,3335,Rs/Quintal
Cuddapah,Sunflower Seed,Andhra Pradesh,"[78.82, 14.47]",2012,February,Tonnes,Sunflower Seed,2768,2924,2888,Rs/Quintal
Cuddapah,Groundnut pods (raw),Andhra Pradesh,"[78.82, 14.47]",2012,February,Tonnes,Other,3200,4093,3725,Rs/Quintal
Cumbum(AP),Bengal Grams(Gram),Andhra Pradesh,"[79.1167, 15.5667]",2012,February,Tonnes,Other,3250,3450,3350,Rs/Quintal
Darsi,Paddy(Dhan),Andhra Pradesh,"[79.6833, 15.7667]",2012,February,Tonnes,B P T,1030,1100,1050,Rs/Quintal
Darsi,Red Grams,Andhra Pradesh,"[79.6833, 15.7667]",2012,February,Tonnes,Local,3000,3100,3050,Rs/Quintal
Denduluru,Paddy(Dhan),Andhra Pradesh,"[81.1642, 16.7606]",2012,February,Tonnes,Paddy,1080,1100,1090,Rs/Quintal
Dharmavaram,Paddy(Dhan),Andhra Pradesh,"[77.72, 14.43]",2012,February,Tonnes,B P T,1050,1110,1080,Rs/Quintal
